=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.19 10:49:25 =~=~=~=~=~=~=~=~=~=~=~=

Tiempo ,Entrada,ANGULO,POSICION

 -0.400,0,0,0
 -0.380,0,0,0
  7.660, 0.000, 0.311, 0.271
  7.680, 0.000, 0.251, 0.271
  7.700, 0.000, 0.188, 0.271
  7.720, 0.000, 0.124, 0.271
  7.740, 0.000, 0.056, 0.271
  7.760, 0.000,-0.010, 0.271
  7.780, 0.000,-0.079, 0.271
  7.800, 0.000,-0.145, 0.271
  7.820, 0.000,-0.208, 0.271
  7.840, 0.000,-0.271, 0.271
  7.860, 0.000,-0.328, 0.271
  7.880, 0.000,-0.379, 0.271
  7.900, 0.000,-0.428, 0.271
  7.920, 0.000,-0.469, 0.271
  7.940, 0.000,-0.503, 0.271
  7.960, 0.000,-0.531, 0.271
  7.980, 0.000,-0.550, 0.271
  8.000, 0.000,-0.562, 0.271
  8.020, 0.000,-0.565, 0.271
  8.040, 0.000,-0.564, 0.271
  8.060, 0.000,-0.552, 0.271
  8.080, 0.000,-0.532, 0.271
  8.100, 0.000,-0.504, 0.271
  8.120, 0.000,-0.471, 0.271
  8.140, 0.000,-0.429, 0.271
  8.160, 0.000,-0.382, 0.271
  8.180, 0.000,-0.330, 0.271
  8.200, 0.000,-0.272, 0.271
  8.220, 0.000,-0.211, 0.271
  8.240, 0.000,-0.147, 0.271
  8.260, 0.000,-0.082, 0.271
  8.280, 0.000,-0.014, 0.271
  8.300, 0.000, 0.054, 0.271
  8.320, 0.000, 0.120, 0.271
  8.340, 0.000, 0.187, 0.271
  8.360, 0.000, 0.248, 0.271
  8.380, 0.000, 0.307, 0.271
  8.400, 0.000, 0.361, 0.271
  8.420, 0.000, 0.412, 0.271
  8.440, 0.000, 0.456, 0.271
  8.460, 0.000, 0.494, 0.271
  8.480, 0.000, 0.524, 0.271
  8.500, 0.000, 0.546, 0.271
  8.520, 0.000, 0.562, 0.271
  8.540, 0.000, 0.569, 0.271
  8.560, 0.000, 0.571, 0.271
  8.580, 0.000, 0.562, 0.271
  8.600, 0.000, 0.546, 0.271
  8.620, 0.000, 0.522, 0.271
  8.640, 0.000, 0.490, 0.271
