Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
2.09,-0.19,1.79,0.0
2.095,-0.188,1.745,0.0
2.1,-0.177,1.688,0.0
2.105,-0.169,1.628,0.0
2.11,-0.166,1.59,0.0
2.115,-0.161,1.538,0.0
2.12,-0.152,1.457,0.0
2.125,-0.145,1.4,0.0
2.13,-0.14,1.35,0.0
2.135,-0.135,1.325,0.0
2.14,-0.128,1.258,0.0
2.145,-0.119,1.202,0.0
2.15,-0.119,1.2,0.0
2.155,-0.118,1.148,0.0
2.16,-0.112,1.107,0.0
2.165,-0.1,1.058,0.0
2.17,-0.098,1.015,0.0
2.175,-0.097,1.01,0.0
2.18,-0.094,0.972,0.0
2.185,-0.09,0.935,0.0
2.19,-0.083,0.88,0.0
2.195,-0.079,0.852,0.0
2.2,-0.075,0.83,0.0
2.205,-0.075,0.817,0.0
2.21,-0.072,0.795,0.0
2.215,-0.072,0.772,0.0
2.22,-0.068,0.735,0.0
2.225,-0.062,0.7,0.0
2.23,-0.058,0.678,0.0
2.235,-0.056,0.665,0.0
2.24,-0.055,0.65,0.0
2.245,-0.053,0.635,0.0
2.25,-0.051,0.605,0.0
2.255,-0.049,0.58,0.0
2.26,-0.048,0.567,0.0
2.265,-0.045,0.542,0.0
2.27,-0.04,0.517,0.0
2.275,-0.038,0.51,0.0
2.28,-0.037,0.495,0.0
2.285,-0.037,0.48,0.0
2.29,-0.035,0.475,0.0
2.295,-0.032,0.46,0.0
2.3,-0.033,0.457,0.0
2.305,-0.031,0.44,0.0
2.31,-0.03,0.428,0.0
2.315,-0.029,0.415,0.0
2.32,-0.028,0.403,0.0
2.325,-0.025,0.385,0.0
2.33,-0.023,0.375,0.0
2.335,-0.021,0.355,0.0
2.34,-0.021,0.347,0.0
2.345,-0.018,0.333,0.0
2.35,-0.019,0.325,0.0
2.355,-0.016,0.315,0.0
2.36,-0.014,0.303,0.0
2.365,-0.014,0.3,0.0
2.37,-0.013,0.287,0.0
2.375,-0.011,0.28,0.0
2.38,-0.01,0.272,0.0
2.385,-0.009,0.26,0.0
2.39,-0.007,0.248,0.0
2.395,-0.007,0.24,0.0
2.4,-0.006,0.233,0.0
2.405,-0.005,0.222,0.0
2.41,-0.004,0.215,0.0
2.415,-0.004,0.21,0.0
2.42,-0.004,0.207,0.0
2.425,-0.002,0.198,0.0
2.43,-0.001,0.192,0.0
2.435,-0.001,0.185,0.0
2.44,-0.0,0.18,0.0
2.445,0.001,0.175,0.0
2.45,0.002,0.17,0.0
2.455,0.002,0.162,0.0
2.46,0.003,0.16,0.0
2.465,0.002,0.157,0.0
2.47,0.003,0.153,0.0
2.475,0.003,0.15,0.0
2.48,0.005,0.148,0.0
2.485,0.004,0.145,0.0
2.49,0.005,0.142,0.0
2.495,0.005,0.142,0.0
2.5,0.005,0.14,0.0
2.505,0.004,0.135,0.0
2.51,0.007,0.135,0.0
2.515,0.005,0.135,0.0
2.52,0.006,0.13,0.0
2.525,0.007,0.127,0.0
2.53,0.007,0.125,0.0
2.535,0.007,0.125,0.0
2.54,0.007,0.122,0.0
2.545,0.007,0.117,0.0
2.55,0.007,0.12,0.0
2.555,0.008,0.117,0.0
2.56,0.009,0.11,0.0
2.565,0.009,0.108,0.0
2.57,0.009,0.108,0.0
2.575,0.009,0.11,0.0
2.58,0.009,0.105,0.0
2.585,0.009,0.103,0.0
2.59,0.009,0.103,0.0
2.595,0.01,0.103,0.0
2.6,0.01,0.098,0.0
2.605,0.01,0.093,0.0
2.61,0.01,0.093,0.0
2.615,0.011,0.093,0.0
2.62,0.01,0.09,0.0
2.625,0.01,0.093,0.0
2.63,0.01,0.093,0.0
2.635,0.011,0.09,0.0
2.64,0.01,0.087,0.0
2.645,0.012,0.087,0.0
2.65,0.01,0.085,0.0
2.655,0.012,0.082,0.0
2.66,0.012,0.078,0.0
2.665,0.013,0.078,0.0
2.67,0.013,0.072,0.0
2.675,0.013,0.07,0.0
2.68,0.013,0.068,0.0
2.685,0.014,0.07,0.0
2.69,0.014,0.07,0.0
2.695,0.014,0.068,0.0
2.7,0.013,0.068,0.0
2.705,0.014,0.068,0.0
2.71,0.014,0.065,0.0
2.715,0.014,0.062,0.0
2.72,0.014,0.062,0.0
2.725,0.014,0.06,0.0
2.73,0.014,0.055,0.0
2.735,0.014,0.055,0.0
2.74,0.015,0.06,0.0
2.745,0.015,0.055,0.0
2.75,0.015,0.055,0.0
2.755,0.015,0.052,0.0
2.76,0.016,0.047,0.0
2.765,0.016,0.047,0.0
2.77,0.016,0.04,0.0
2.775,0.016,0.035,0.0
2.78,0.018,0.035,0.0
2.785,0.018,0.027,0.0
2.79,0.019,0.025,0.0
2.795,0.019,0.025,0.0
2.8,0.019,0.027,0.0
2.805,0.019,0.025,0.0
2.81,0.019,0.025,0.0
2.815,0.019,0.027,0.0
2.82,0.02,0.027,0.0
2.825,0.019,0.027,0.0
2.83,0.019,0.03,0.0
2.835,0.019,0.027,0.0
2.84,0.019,0.027,0.0
2.845,0.018,0.025,0.0
2.85,0.019,0.027,0.0
2.855,0.019,0.027,0.0
2.86,0.019,0.027,0.0
2.865,0.019,0.027,0.0
2.87,0.019,0.03,0.0
2.875,0.019,0.027,0.0
2.88,0.019,0.03,0.0
2.885,0.019,0.027,0.0
2.89,0.019,0.03,0.0
2.895,0.019,0.03,0.0
2.9,0.019,0.03,0.0
2.905,0.019,0.027,0.0
2.91,0.019,0.027,0.0
2.915,0.019,0.032,0.0
2.92,0.019,0.03,0.0
2.925,0.019,0.027,0.0
2.93,0.019,0.03,0.0
2.935,0.019,0.03,0.0
