Tiempo ,CORRIENT,VELOCIDA,ENTRADA
  2.490, 0.005, 0.138, 0.000
  2.495, 0.007, 0.132, 0.000
  2.500, 0.007, 0.122, 0.000
  2.505, 0.007, 0.122, 0.000
  2.510, 0.007, 0.122, 0.000
  2.515, 0.008, 0.115, 0.000
  2.520, 0.008, 0.110, 0.000
  2.525, 0.009, 0.108, 0.000
  2.530, 0.009, 0.103, 0.000
  2.535, 0.010, 0.098, 0.000
  2.540, 0.011, 0.090, 0.000
  2.545, 0.012, 0.082, 0.000
  2.550, 0.012, 0.080, 0.000
  2.555, 0.012, 0.078, 0.000
  2.560, 0.012, 0.072, 0.000
  2.565, 0.014, 0.068, 0.000
  2.570, 0.014, 0.062, 0.000
  2.575, 0.014, 0.058, 0.000
  2.580, 0.014, 0.052, 0.000
  2.585, 0.015, 0.052, 0.000
  2.590, 0.015, 0.047, 0.000
  2.595, 0.015, 0.043, 0.000
  2.600, 0.016, 0.043, 0.000
  2.605, 0.015, 0.043, 0.000
  2.610, 0.016, 0.043, 0.000
  2.615, 0.016, 0.040, 0.000
  2.620, 0.019, 0.037, 0.000
  2.625, 0.019, 0.037, 0.000
  2.630, 0.020, 0.027, 0.000
  2.635, 0.019, 0.020, 0.000
  2.640, 0.019, 0.020, 0.000
  2.645, 0.020, 0.018, 0.000
  2.650, 0.020, 0.020, 0.000
  2.655, 0.019, 0.018, 0.000
  2.660, 0.020, 0.020, 0.000
  2.665, 0.020, 0.018, 0.000
  2.670, 0.020, 0.018, 0.000
  2.675, 0.019, 0.018, 0.000
  2.680, 0.020, 0.020, 0.000
  2.685, 0.019, 0.018, 0.000
  2.690, 0.020, 0.018, 0.000
  2.695, 0.019, 0.015, 0.000
  2.700, 0.020, 0.018, 0.000
  2.705, 0.019, 0.020, 0.000
  2.710, 0.020, 0.020, 0.000
  2.715, 0.020, 0.020, 0.000
  2.720, 0.020, 0.022, 0.000
  2.725, 0.019, 0.020, 0.000
  2.730, 0.020, 0.020, 0.000
  2.735, 0.019, 0.020, 0.000
  2.740, 0.019, 0.020, 0.000
  2.745, 0.020, 0.018, 0.000
  2.750, 0.020, 0.018, 0.000
  2.755, 0.019, 0.020, 0.000
  2.760, 0.020, 0.020, 0.000
  2.765, 0.020, 0.020, 0.000
  2.770, 0.020, 0.018, 0.000
  2.775, 0.020, 0.022, 0.000
  2.780, 0.020, 0.020, 0.000
  2.785, 0.020, 0.020, 0.000
  2.790, 0.019, 0.020, 0.000
  2.795, 0.020, 0.020, 0.000
  2.800, 0.019, 0.020, 0.000
  2.805, 0.020, 0.020, 0.000
  2.810, 0.020, 0.018, 0.000
  2.815, 0.020, 0.020, 0.000
  2.820, 0.020, 0.020, 0.000
  2.825, 0.020, 0.020, 0.000
  2.830, 0.020, 0.020, 0.000
  2.835, 0.020, 0.022, 0.000
  2.840, 0.019, 0.020, 0.000
  2.845, 0.020, 0.020, 0.000
  2.850, 0.019, 0.020, 0.000
  2.855, 0.020, 0.020, 0.000
  2.860, 0.020, 0.018, 0.000
  2.865, 0.020, 0.018, 0.000
  2.870, 0.020, 0.020, 0.000
  2.875, 0.020, 0.020, 0.000
  2.880, 0.020, 0.020, 0.000
  2.885, 0.020, 0.022, 0.000
  2.890, 0.020, 0.022, 0.000
  2.895, 0.020, 0.020, 0.000
  2.900, 0.020, 0.018, 0.000
  2.905, 0.020, 0.022, 0.000
  2.910, 0.020, 0.022, 0.000
  2.915, 0.020, 0.020, 0.000
  2.920, 0.020, 0.022, 0.000
  2.925, 0.020, 0.020, 0.000
  2.930, 0.020, 0.022, 0.000
  2.935, 0.020, 0.020, 0.000
  2.940, 0.020, 0.022, 0.000
  2.945, 0.020, 0.022, 0.000
  2.950, 0.020, 0.022, 0.000
  2.955, 0.019, 0.022, 0.000
  2.960, 0.020, 0.020, 0.000
  2.965, 0.020, 0.020, 0.000
  2.970, 0.020, 0.022, 0.000
  2.975, 0.020, 0.020, 0.000
  2.980, 0.020, 0.022, 0.000
  2.985, 0.020, 0.022, 0.000
  2.990, 0.020, 0.025, 0.000
  2.995, 0.020, 0.022, 0.000
  3.000, 0.020, 0.025, 0.000
  3.005, 0.020, 0.025, 0.000
  3.010, 0.020, 0.022, 0.000
  3.015, 0.019, 0.022, 0.000
  3.020, 0.020, 0.022, 0.000
  3.025, 0.020, 0.022, 0.000
  3.030, 0.020, 0.022, 0.000
  3.035, 0.019, 0.022, 0.000
  3.040, 0.020, 0.022, 0.000
  3.045, 0.020, 0.022, 0.000
  3.050, 0.020, 0.022, 0.000
  3.055, 0.020, 0.025, 0.000
  3.060, 0.020, 0.025, 0.000
  3.065, 0.020, 0.022, 0.000
  3.070, 0.020, 0.025, 0.000
  3.075, 0.020, 0.022, 0.000
  3.080, 0.020, 0.022, 0.000
  3.085, 0.020, 0.020, 0.000
  3.090, 0.020, 0.025, 0.000
  3.095, 0.020, 0.025, 0.000
  3.100, 0.020, 0.025, 0.000
  3.105, 0.020, 0.027, 0.000
  3.110, 0.020, 0.025, 0.000
  3.115, 0.020, 0.025, 0.000
  3.120, 0.020, 0.025, 0.000
  3.125, 0.020, 0.025, 0.000
  3.130, 0.020, 0.022, 0.000
  3.135, 0.020, 0.025, 0.000
  3.140, 0.020, 0.022, 0.000
  3.145, 0.021, 0.022, 0.000
  3.150, 0.020, 0.025, 0.000
  3.155, 0.021, 0.025, 0.000
  3.160, 0.020, 0.022, 0.000
  3.165, 0.020, 0.025, 0.000
  3.170, 0.020, 0.025, 0.000
  3.175, 0.020, 0.027, 0.000
  3.180, 0.019, 0.025, 0.000
  3.185, 0.019, 0.025, 0.000
  3.190, 0.020, 0.025, 0.000
  3.195, 0.020, 0.027, 0.000
  3.200, 0.020, 0.027, 0.000
  3.205, 0.021, 0.027, 0.000
  3.210, 0.020, 0.025, 0.000
  3.215, 0.019, 0.027, 0.000
  3.220, 0.020, 0.027, 0.000
  3.225, 0.020, 0.027, 0.000
  3.230, 0.019, 0.025, 0.000
  3.235, 0.019, 0.027, 0.000
  3.240, 0.020, 0.025, 0.000
  3.245, 0.020, 0.025, 0.000
  3.250, 0.020, 0.027, 0.000
  3.255, 0.019, 0.027, 0.000
  3.260, 0.020, 0.025, 0.000
  3.265, 0.019, 0.027, 0.000
  3.270, 0.020, 0.030, 0.000
  3.275, 0.020, 0.027, 0.000
  3.280, 0.020, 0.030, 0.000
  3.285, 0.019, 0.027, 0.000
  3.290, 0.020, 0.027, 0.000
  3.295, 0.020, 0.027, 0.000
  3.300, 0.020, 0.027, 0.000
  3.305, 0.020, 0.027, 0.000
  3.310, 0.020, 0.030, 0.000
  3.315, 0.020, 0.027, 0.000
  3.320, 0.020, 0.030, 0.000
  3.325, 0.020, 0.030, 0.000
  3.330, 0.020, 0.032, 0.000
  3.335, 0.019, 0.027, 0.000
  3.340, 0.020, 0.030, 0.000
  3.345, 0.019, 0.027, 0.000
  3.350, 0.020, 0.030, 0.000
  3.355, 0.020, 0.025, 0.000
  3.360, 0.020, 0.030, 0.000
  3.365, 0.020, 0.030, 0.000
  3.370, 0.020, 0.030, 0.000
  3.375, 0.020, 0.030, 0.000
  3.380, 0.020, 0.030, 0.000
  3.385, 0.019, 0.030, 0.000
  3.390, 0.020, 0.027, 0.000
  3.395, 0.020, 0.027, 0.000
  3.400, 0.020, 0.030, 0.000
  3.405, 0.020, 0.030, 0.000
